,Name,Url,County,Sites,Average_rent,Unnamed: 0,FullstreetAddress,Latitude,Longitude
654,Sterling Estates,https://www.mhvillage.com/parks/15148, Macomb ,760,629,670,"43475 La Grand Boulevard, Sterling Heights, MI, 48314",42.60928,-83.0516
655,Maple Woods,https://www.mhvillage.com/parks/522, Lenawee ,285,415,600,"1550 West Beecher Road, Adrian, MI, 49221",41.89354,-84.06128
656,Hidden River North,https://www.mhvillage.com/parks/15930, Lenawee ,211,N/A,601,"975 Beecher Road, Adrian, MI, 49221",41.89354,-84.06128
657,Round Lake Estates,https://www.mhvillage.com/parks/589, Lenawee ,109,360,602,"787 Stoneham, Manitou Beach, MI, 49253",41.9644,-84.28753
658,Newburg Meadows,https://www.mhvillage.com/parks/369, Lenawee ,135,375,603,"9115 North Union Street, Tecumseh, MI, 49286",42.01141,-83.91696
659,Bean Creek Resort,https://www.mhvillage.com/parks/15405, Lenawee ,72,N/A,604,"9575 Devils Lake Highway, Manitou Beach, MI, 49253",41.97564,-84.27058
660,Hidden River South,https://www.mhvillage.com/parks/16023, Lenawee ,202,N/A,605,"3251 South Adrian Highway, Adrian, MI, 49221",41.89354,-84.06128
661,Coach Light Estates,https://www.mhvillage.com/parks/309, Lenawee ,230,N/A,606,"650 West Adrian Street, Blissfield, MI, 49228",41.81319,-83.86387
662,Country Villa,https://www.mhvillage.com/parks/371, Lenawee ,73,675,611,"12919 Tipton Highway, Clinton, MI, 49236",42.08586,-83.95871
663,Friendly Village Of Adrian,https://www.mhvillage.com/parks/15347, Lenawee ,179,378,607,"1100 South Main Street, Adrian, MI, 49221",41.89354,-84.06128
664,Leffingwell Estates,https://www.mhvillage.com/parks/15401, Lenawee ,70,N/A,608,"595 South Meridian Road, Hudson, MI, 49247",41.85379,-84.33698
665,Water Wheel Community,https://www.mhvillage.com/parks/15345, Lenawee ,172,372,610,"316 West Michigan Avenue, Clinton, MI, 49236",42.08586,-83.95871
666,Raisin Valley Estates,https://www.mhvillage.com/parks/15403, Lenawee ,27,N/A,612,"4897 N. Adrian Hwy, Adrian, MI, 49221",41.95703,-84.00383
667,Water's Edge,https://www.mhvillage.com/parks/110884, Lenawee ,48,N/A,613,"Devils Lake Highway, Manitou Beach, MI, 49253",41.97564,-84.27058
668,Clinton Estates,https://www.mhvillage.com/parks/40692, Lenawee ,30,N/A,614,"1801 West Michigan Avenue, Clinton, MI, 49236",42.08586,-83.95871
669,King Mobile Home Court,https://www.mhvillage.com/parks/15346, Lenawee ,123,N/A,615,"1142 Lansing Street, Adrian, MI, 49221",41.89354,-84.06128
670,Southgate Mobile Park,https://www.mhvillage.com/parks/15400, Lenawee ,48,325,616,"2425 East Us Highway 223, Adrian, MI, 49221",41.87328,-84.0143
671,Adrian Estates,https://www.mhvillage.com/parks/15547, Lenawee ,26,N/A,617,"1003 Lansing Street, Adrian, MI, 49221",41.89354,-84.06128
672,Lee Villa Mobile Home Park,https://www.mhvillage.com/parks/15404, Lenawee ,113,342,618,"2985 Gady Road, Adrian, MI, 49221",41.89354,-84.06128
673,Robinhood Mobile Court,https://www.mhvillage.com/parks/15402, Lenawee ,25,N/A,619,"3180 North Adrian, Adrian, MI, 49221",41.89354,-84.06128
674,Silver Lawn Mobile Park,https://www.mhvillage.com/parks/54881, Lenawee ,N/A,N/A,620,"10891 Cement City Highway, Addison, MI, 49220",42.04354,-84.31813
675,Sylvan Glen Estates,https://www.mhvillage.com/parks/341, Livingston ,476,397,621,"6600 Grand River, Brighton, MI, 48114",42.57775,-83.7528
